;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
235;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;2004-2005;FORWARDS
236;;;Guillaume Solves (F);45;1979;;180;67;-0;2004-2005;FORWARDS
237;;;Thibaut Villemejane (F);39;1985;;183;75;L;2004-2005;FORWARDS
241;;;Thomas Picavet (G);39;1985;Toulouse, FRA;177;69;L;2005-2006;FORWARDS
242;;;Raphaël Vincent (G);42;1981;Toulouse, FRA;172;70;L;2005-2006;FORWARDS
244;;;Gérald Arce (D);37;1986;;172;72;-0;2005-2006;DEFENSEMEN
245;;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2005-2006;DEFENSEMEN
246;;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2005-2006;DEFENSEMEN
247;;;Terry Prunier (D);40;1984;Rouen, FRA;186;88;L;2005-2006;DEFENSEMEN
249;;;Pierre Audevard (F);38;1986;;187;70;-0;2005-2006;FORWARDS
250;;;"Lionel Barin (F)""A""";56;1968;;172;82;-0;2005-2006;FORWARDS
251;;;Dominique Blondin (F);57;1967;;173;75;-0;2005-2006;FORWARDS
252;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;2005-2006;FORWARDS
253;;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2005-2006;FORWARDS
254;;;"Emmanuel Delpet (F)""A""";47;1977;;175;71;-0;2005-2006;FORWARDS
255;;;"Olivier Escuder (F)""C""";46;1977;;185;80;-0;2005-2006;FORWARDS
256;;;Grégory Gibeaux (F);49;1974;;172;75;-0;2005-2006;FORWARDS
257;;;Julien Mauget (F);43;1981;;179;66;-0;2005-2006;FORWARDS
258;;;Eric Medeiros (C);47;1977;Milton, ON, CAN;170;85;L;2005-2006;FORWARDS
259;;;Guilhem Pechmeja (F);48;1975;Villefranche-sur-Saône, FRA;179;74;-0;2005-2006;FORWARDS
