,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
DEFENSEMEN,,,,,,,,,,
,,,Gérald Arce (D),37,1986,,172,72,-0,
,,,Nicolas Blum (D),39,1984,,165,65,R,
,,,Damien Gadiot (D),38,1985,"Toulouse, FRA",180,78,L,
,,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,,,"Terry Prunier (D)""A""",40,1984,"Rouen, FRA",186,88,L,
FORWARDS,,,,,,,,,,
,,,Pierre Audevard (F),38,1986,,187,70,-0,
,,,Lionel Barin (F),56,1968,,172,82,-0,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,,,"Emmanuel Delpet (F)""A""",47,1977,,175,71,-0,
,,,"Olivier Escuder (F)""C""",46,1977,,185,80,-0,
,,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,,,David Ribanelli (F),54,1970,"Ermont, FRA",175,75,R,
,,,Guillaume Solves (F),45,1979,,180,67,-0,
,,,Thibaut Villemejane (F),39,1985,,183,75,L,
2007-2008 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
,,,Raphaël Vincent (G),42,1981,"Toulouse, FRA",172,70,L,
DEFENSEMEN,,,,,,,,,,
,,,Nicolas Blum (D),39,1984,,165,65,R,
,,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,,,"Terry Prunier (D)""A""",40,1984,"Rouen, FRA",186,88,L,
,,,Harold Ten Braak (D),39,1984,"Dammarie-les-Lys, FRA",187,80,L,
FORWARDS,,,,,,,,,,
,,,Pierre Audevard (F),38,1986,,187,70,-0,
,,,Maxime Badets (F),38,1985,"Mont-de-Marsan, FRA",180,92,L,
,,,Lionel Barin (F),56,1968,,172,82,-0,
,,,Kévin Benchabane (F),35,1988,"Epinal, FRA",180,76,L,
,,,"Dominique Blondin (F)""A""",57,1967,,173,75,-0,
,,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,,,"Emmanuel Delpet (F)""C""",47,1977,,175,71,-0,
,,,Jeremy Pradel (F),34,1990,"Toulouse, FRA",177,80,R,
,,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,,,Martin Serra (F),38,1986,"Epinal, FRA",175,80,-0,
,,,Anthony Wagret (F),38,1985,"Valenciennes, FRA",185,90,L,
2008-2009 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Xavier Chatelin (G),37,1986,"Les Ulis, FRA",175,83,L,
,,,Thomas Labonne (G),34,1990,,-0,-0,L,
,,,Thomas Picavet (G),39,1985,"Toulouse, FRA",177,69,L,
DEFENSEMEN,,,,,,,,,,
,,,Nicolas Blum (D),39,1984,,165,65,R,
,,,Cyril Charenton (D),34,1990,,176,86,-0,
,,,Kévin Codevelle (D),35,1989,,-0,-0,R,
